Date,Sales
2025-01-01,121.99
2025-01-02,131.81
2025-01-03,138.49
2025-01-04,134.52
2025-01-05,115.11
2025-01-06,107.64
2025-01-07,118.42
2025-01-08,127.54
2025-01-09,134.96
2025-01-10,142.55
2025-01-11,131.05
2025-01-12,118.66
2025-01-13,114.02
2025-01-14,108.93
2025-01-15,122.05
2025-01-16,139.07
2025-01-17,140.8
2025-01-18,138.63
2025-01-19,121.37
2025-01-20,111.87
2025-01-21,126.92
2025-01-22,132.52
2025-01-23,146.06
2025-01-24,143.63
2025-01-25,139.67
2025-01-26,129.92
2025-01-27,117.39
2025-01-28,127.04
2025-01-29,135.5
2025-01-30,149.1
2025-01-31,151.4
2025-02-01,153.73
2025-02-02,133.89
2025-02-03,122.24
2025-02-04,133.3
2025-02-05,137.49
2025-02-06,155.58
2025-02-07,150.44
2025-02-08,145.49
2025-02-09,139.21
2025-02-10,133.9
2025-02-11,135.17
2025-02-12,146.39
2025-02-13,158.01
2025-02-14,156.84
2025-02-15,152.4
2025-02-16,141.06
2025-02-17,139.65
2025-02-18,140.33
2025-02-19,144.27
2025-02-20,164.99
2025-02-21,165.69
2025-02-22,157.04
2025-02-23,149.82
2025-02-24,144.02
2025-02-25,147.16
2025-02-26,152.44
2025-02-27,166.93
2025-02-28,173.03
2025-03-01,168.13
2025-03-02,149.93
2025-03-03,143.63
2025-03-04,143.48
2025-03-05,155.49
2025-03-06,175.89
2025-03-07,181.6
2025-03-08,168.41
2025-03-09,160.34
2025-03-10,150.29
2025-03-11,149.8
2025-03-12,166.19
2025-03-13,183.27
2025-03-14,180.51
2025-03-15,179.43
2025-03-16,150.32
2025-03-17,156.61
2025-03-18,157.21
2025-03-19,168.03
2025-03-20,181.96
2025-03-21,177.18
2025-03-22,176.77
2025-03-23,166.7
2025-03-24,163.71
2025-03-25,159.26
2025-03-26,170.46
2025-03-27,184.06
2025-03-28,193.26
2025-03-29,183.44
2025-03-30,167.63
2025-03-31,164.32
2025-04-01,166.2
2025-04-02,182.05
2025-04-03,187.73
2025-04-04,192.77
2025-04-05,185.03
2025-04-06,168.37
2025-04-07,167.93
2025-04-08,171.33
2025-04-09,182.67
2025-04-10,194.08
2025-04-11,192.89
2025-04-12,189.39
2025-04-13,177.33
2025-04-14,168.01
2025-04-15,174.11
2025-04-16,188.74
2025-04-17,207.03
2025-04-18,203.72
2025-04-19,196.58
2025-04-20,182.87
2025-04-21,168.02
2025-04-22,179.13
2025-04-23,191.84
2025-04-24,213.82
2025-04-25,206.73
2025-04-26,201.23
2025-04-27,187.51
2025-04-28,175.5
2025-04-29,188.28
2025-04-30,199.08
2025-05-01,211.6
2025-05-02,208.34
2025-05-03,210.11
2025-05-04,186.51
2025-05-05,186.99
2025-05-06,196.94
2025-05-07,196.59
2025-05-08,210.65
2025-05-09,216.85
2025-05-10,206.96
2025-05-11,190.39
2025-05-12,189.39
2025-05-13,188.41
2025-05-14,206.92
2025-05-15,213.71
2025-05-16,227.13
2025-05-17,210.32
2025-05-18,199.78
2025-05-19,196.85
2025-05-20,192.21
2025-05-21,210.41
2025-05-22,227.09
2025-05-23,218.97
2025-05-24,218.66
2025-05-25,206.59
2025-05-26,201.2
2025-05-27,196.66
2025-05-28,208.69
2025-05-29,228.43
2025-05-30,231.06
2025-05-31,223.4
2025-06-01,211.41
2025-06-02,199.82
2025-06-03,207.01
2025-06-04,219.62
2025-06-05,227.96
2025-06-06,241.81
2025-06-07,228.77
2025-06-08,209.73
2025-06-09,209.65
2025-06-10,206.66
2025-06-11,226.07
2025-06-12,239.92
2025-06-13,235.54
2025-06-14,235.2
2025-06-15,220.62
2025-06-16,214.78
2025-06-17,222.62
2025-06-18,226.42
2025-06-19,236.75
2025-06-20,239.74
2025-06-21,232.56
2025-06-22,223.14
2025-06-23,217.33
2025-06-24,220.61
2025-06-25,235.18
2025-06-26,244.29
2025-06-27,253.59
2025-06-28,239.24
2025-06-29,238.8
2025-06-30,222.95
2025-07-01,220.55
2025-07-02,232.06
2025-07-03,250.64
2025-07-04,251.36
2025-07-05,247.63
2025-07-06,234.29
2025-07-07,224.63
2025-07-08,225.07
2025-07-09,234.76
2025-07-10,251.4
2025-07-11,260.15
2025-07-12,250.1
2025-07-13,231.89
2025-07-14,230.09
2025-07-15,234.47
2025-07-16,241.76
2025-07-17,258.28
2025-07-18,261.43
2025-07-19,249.15
2025-07-20,242.78
2025-07-21,236.11
2025-07-22,241.74
2025-07-23,253.99
2025-07-24,256.63
2025-07-25,261.92
2025-07-26,260.26
2025-07-27,247.88
2025-07-28,240.4
2025-07-29,257.29
2025-07-30,256.53
2025-07-31,271.16
2025-08-01,273.97
2025-08-02,265.28
2025-08-03,249.03
2025-08-04,245.85
2025-08-05,243.26
2025-08-06,257.77
2025-08-07,269.15
2025-08-08,274.95
